id,title,description,category,price
1,UltraSlim Notebook 14,"A cheap lightweight laptop for travel weighing just 1.2kg with all-day battery. Affordable and portable, perfect for students and frequent travelers on a budget.",Computers,499
2,ProBook Elite 15,Premium high-end business laptop with a powerful processor and high-resolution display. Built for demanding professional workloads at the office.,Computers,1299
3,Compact Travel Companion PC,"An affordable ultraportable laptop built for travel and people on the move. Cheap, small, and light enough to fit in any bag.",Computers,579
4,PowerStation Desktop Tower,High-performance desktop workstation for video editing and 3D rendering. Large and not portable.,Computers,1899
5,Featherlight Chromebook,Inexpensive lightweight portable computer ideal for browsing and everyday tasks on the go.,Computers,329
6,Wireless Noise-Cancelling Headphones,Over-ear headphones that block outside sound for immersive listening. Long battery life.,Audio,249
7,True Wireless Earbuds Pro,Tiny in-ear buds with active noise cancellation and a compact charging case.,Audio,179
8,Studio Monitor Speakers,Desktop speakers delivering accurate sound for music production and mixing.,Audio,399
9,Portable Bluetooth Speaker,A small rugged speaker you can take anywhere. Water resistant with deep bass.,Audio,89
10,Quiet Commute Earphones,Budget-friendly earphones that reduce ambient noise for a peaceful daily commute.,Audio,59
11,SmartFit Activity Tracker,A wrist band that counts steps and monitors heart rate throughout the day.,Wearables,99
12,Chronos Smartwatch,A stylish watch that shows notifications and tracks your workouts and sleep.,Wearables,299
13,Fitness Heart Monitor Strap,Chest-worn device for precise heart rate tracking during intense exercise.,Wearables,79
14,Everyday Health Wristband,Affordable wearable that keeps an eye on your activity and rest patterns.,Wearables,49
15,4K Action Camera,Rugged waterproof camera for capturing adventures in ultra high definition.,Cameras,349
16,Mirrorless Photography Kit,Interchangeable-lens camera with excellent image quality for enthusiasts.,Cameras,899
17,Pocket Vlogging Camera,A tiny lightweight camera made for content creators filming on the go.,Cameras,449
18,Home Security Cam,Indoor camera that streams live video to your phone and detects motion.,Cameras,129
19,Ergonomic Office Chair,Adjustable chair with lumbar support to keep you comfortable during long work days.,Furniture,459
20,Standing Desk Converter,Raises your workspace so you can work while standing. Reduces back strain.,Furniture,199
21,Mechanical Keyboard,Tactile typing experience with customizable backlighting for programmers and gamers.,Accessories,129
22,Silent Wireless Mouse,A quiet-click mouse with precise tracking and a long-lasting battery.,Accessories,39
23,USB-C Docking Station,Connects your laptop to multiple monitors and devices through a single cable.,Accessories,159
24,Fast Portable Charger,A compact power bank that quickly recharges phones and tablets while traveling.,Accessories,49
25,Blue Light Glasses,Eyewear that reduces screen glare to ease eye strain during long computer sessions.,Accessories,29
26,Smart Home Hub,Central controller that connects and automates your smart lights and devices.,Smart Home,149
27,Robot Vacuum Cleaner,Autonomous cleaner that maps your home and vacuums floors on a schedule.,Smart Home,399
28,Video Doorbell,See and speak to visitors at your door from anywhere using your phone.,Smart Home,179
29,Smart Thermostat,Learns your schedule and adjusts home temperature to save energy.,Smart Home,229
30,LED Desk Lamp,Adjustable lamp with warm and cool light settings for a comfortable workspace.,Furniture,45
